tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
comercio,fabrica de,prado,3,10.0,2018-07-13,5000000.0,microempresarial
servicio,recreativo educativo,barrio caicedo,1,9.0,2017-10-30,6000000.0,microempresarial
comercio,tienda,aranjuez,2,4.0,2017-08-03,7300000.0,microempresarial
comercio,variedades,cabecera san cristobal,3,60.0,2017-11-20,7000000.0,microempresarial
comercio,fabrica de,robledo,2,7.0,2017-02-23,5000000.0,microempresarial
comercio,variedades,picachito,1,6.0,2017-05-31,7000000.0,microempresarial
industria,fabrica de,guayabal,3,15.0,2016-02-20,200000000.0,microempresarial
comercio,tienda,carpinelo,1,1.0,2017-02-14,3300000.0,microempresarial
comercio,variedades,belalcazar,2,5.0,2018-05-07,7800000.0,microempresarial
comercio,variedades,manrique central no. 1,1,4.0,2018-05-03,7800000.0,microempresarial
industria,fabrica de,manrique central no. 2,2,3.0,2017-02-28,4500000.0,microempresarial
agropecuaria,sembrados,santa elena central,2,90.0,2016-12-23,13000000.0,agropecuaria
comercio,comidas rapidas,andalucia,2,2.0,2018-04-12,7800000.0,microempresarial
industria,fabrica de,san javier no.1,1,13.0,2018-08-23,4000000.0,microempresarial
servicio,variedades,belencito,2,13.0,2018-07-30,7800000.0,microempresarial
comercio,miscelanea,centro admtivo,3,10.0,2018-02-14,1000000.0,microempresarial
comercio,variedades,cabecera san antonio,2,80.0,2017-11-16,7000000.0,microempresarial
servicio,cafe e internet,manrique central no. 1,3,4.0,2019-04-29,8000000.0,microempresarial
comercio,tienda,villa hermosa,3,8.0,2018-06-27,5000000.0,microempresarial
comercio,venta de calzado,playon de los,2,2.0,2017-02-27,7000000.0,microempresarial
comercio,productos de belleza,buenos aires,3,9.0,2017-07-24,7300000.0,microempresarial
comercio,tienda,manrique central no. 1,2,4.0,2018-09-14,6000000.0,microempresarial
comercio,tienda,popular,2,1.0,2018-10-11,6000000.0,microempresarial
comercio,almacen de ropa en,robledo,2,7.0,2018-02-15,6000000.0,microempresarial
comercio,variedades,tricentenario,3,5.0,2017-11-20,4000000.0,microempresarial
servicio,barberia,calasanz,2,12.0,2017-09-26,7377000.0,microempresarial
industria,fabrica de,aranjuez,3,4.0,2016-10-24,650000000.0,microempresarial
comercio,comidas rapidas,buenos aires,2,9.0,2019-06-28,1500000.0,microempresarial
comercio,variedades,andalucia,2,2.0,2018-08-17,7800000.0,microempresarial
servicio,peluqueria,pedregal,3,6.0,2017-10-27,7300000.0,microempresarial
servicio,jardineria,la francia,2,2.0,2017-06-12,7377000.0,microempresarial
comercio,variedades,santa cruz,2,2.0,2017-06-14,4000000.0,microempresarial
comercio,tienda,san javier no.1,2,13.0,2018-02-06,7800000.0,microempresarial
comercio,variedades,la floresta,3,12.0,2017-09-05,7300000.0,microempresarial
comercio,variedades,belen,3,16.0,2016-09-16,6890000.0,microempresarial
comercio,tienda,las brisas,3,5.0,2018-01-15,6000000.0,microempresarial
comercio,peluqueria,castilla,3,5.0,2017-08-11,2500000.0,microempresarial
industria,fabrica de alimentos,san javier no.1,2,13.0,2016-10-27,680000000.0,microempresarial
comercio,almacen de ropa en,cabecera san antonio,2,80.0,2016-09-22,4000000.0,microempresarial
industria,variedades,cabecera san antonio,2,80.0,2017-07-24,5000000.0,credioportuno
industria,fabrica de,guayabal,2,15.0,2016-03-02,4000000.0,microempresarial
industria,fabrica de,belen,2,16.0,2016-05-24,6500000.0,microempresarial
comercio,comidas rapidas,santander,2,6.0,2018-07-27,1200000.0,microempresarial
comercio,almacen de ropa en,prado,3,10.0,2017-11-20,7000000.0,microempresarial
comercio,comidas rapidas,santa cruz,2,2.0,2018-03-22,1500000.0,microempresarial
industria,fabrica de traperos,aranjuez,3,4.0,2016-02-24,200000000.0,microempresarial
comercio,variedades,castilla,3,5.0,2017-02-15,4000000.0,microempresarial
industria,fabrica de alimentos,san javier no.2,3,13.0,2016-02-29,689000000.0,microempresarial
industria,fabrica de,san javier no.1,1,13.0,2017-08-15,6000000.0,microempresarial
servicio,variedades,pedregal,3,6.0,2017-04-24,7000000.0,microempresarial
comercio,panaderia,cabecera san antonio,2,80.0,2017-04-27,3000000.0,microempresarial
servicio,mantenimiento en,la milagrosa,2,9.0,2018-05-16,7000000.0,microempresarial
comercio,variedades,la floresta,3,12.0,2016-08-16,6000000.0,microempresarial
comercio,fabrica de,san javier no.1,1,13.0,2017-10-05,7300000.0,microempresarial
comercio,tienda,cabecera san antonio,3,80.0,2018-05-21,5500000.0,microempresarial
comercio,tienda de helados,robledo,3,7.0,2018-05-23,7800000.0,microempresarial
comercio,variedades,tricentenario,3,5.0,2017-04-27,7000000.0,microempresarial
comercio,miscelanea,villa hermosa,3,8.0,2016-12-19,6890000.0,microempresarial
servicio,mantenimiento en,andalucia,1,2.0,2016-01-22,6890000.0,microempresarial
comercio,tienda,bombona no. 1,3,10.0,2016-10-05,4000000.0,microempresarial
industria,fabrica de,santa cruz,2,2.0,2016-09-30,6890000.0,microempresarial
comercio,almacen de ropa en,manrique oriental,2,3.0,2017-02-08,1200000.0,microempresarial
comercio,fabrica de,villa liliam,1,13.0,2019-02-06,7800000.0,microempresarial
comercio,tienda,kennedy,2,6.0,2018-09-27,5000000.0,microempresarial
comercio,variedades,robledo,2,7.0,2016-10-28,600000000.0,microempresarial
